№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"2,448","2,381","2,381","2,442","7,958","19,237,718",2025-05-13
2,"2,449","2,390","2,400","2,444","5,172","12,597,635.00",2025-05-12
3,"2,449","2,391","2,445","2,447","2,186","5,325,322.00",2025-05-09
4,"2,450","2,383","2,450","2,448","5,465","13,304,463.00",2025-05-08
5,"2,469","2,402","2,469","2,469","3,868","9,382,583.00",2025-05-07
6,"2,471","2,419","2,471","2,462","2,074","5,066,876.00",2025-05-06
7,"2,474","2,474",0,0,"121,262","300,002,188.00",2025-05-06
8,"2,473","2,419","2,420","2,471","4,822","11,834,920.00",2025-05-05
9,"2,471","2,416","2,435","2,471","3,334","8,179,320.00",2025-05-02
10,"2,474","2,401","2,403","2,474","5,016","12,292,767.00",2025-05-01
11,"2,475","2,401","2,475","2,464","1,818","4,416,165.00",2025-04-30
12,"2,476","2,400","2,470","2,462","6,935","16,967,091",2025-04-29
13,"2,477","2,401","2,401","2,472","3,243","7,925,954.00",2025-04-28
14,"2,477","2,393","2,458","2,403","1,131","2,759,905.00",2025-04-25
15,"2,470","2,383","2,383","2,458","5,638","13,708,276.00",2025-04-24
16,"2,477","2,384","2,384","2,424","5,691","13,873,801.00",2025-04-23
17,"2,476","2,393","2,410","2,476","3,911","9,544,046.00",2025-04-22
18,"2,479","2,404","2,450","2,476","6,645","16,389,855.00",2025-04-21
19,"2,479","2,380","2,380","2,478","1,411","3,472,627.00",2025-04-18
20,"2,478","2,376","2,474","2,478","5,316","13,081,545.00",2025-04-17
21,"2,476","2,371","2,469","2,476","3,408","8,380,981",2025-04-16
22,"2,477","2,371","2,400","2,477","4,479","10,842,669.00",2025-04-15
23,"2,478","2,374","2,374","2,465","4,415","10,810,798.00",2025-04-14
24,"2,480","2,370","2,372","2,470","3,748","9,203,469.00",2025-04-11
25,"2,488","2,370","2,488","2,478","8,675","20,902,970.00",2025-04-10
26,"2,496","2,372","2,404","2,489","4,776","11,565,903.00",2025-04-09
27,"2,498","2,410","2,414","2,497","3,242","7,934,930.00",2025-04-08
28,"2,539","2,403","2,404","2,538","6,317","15,621,368.00",2025-04-07
29,"2,499","2,403","2,495","2,495","4,467","11,064,187.00",2025-04-04
30,"2,500","2,401","2,401","2,499","6,273","15,603,640.00",2025-04-03
31,"2,489","2,300","2,400","2,456","4,661","11,201,917.00",2025-04-02
32,"2,500","2,351","2,351","2,500","4,207","10,381,242.00",2025-04-01
33,"2,500","2,340","2,340","2,491","14,955","36,369,056.00",2025-03-31
34,"2,400","2,340","2,340","2,391","4,998","11,893,760.00",2025-03-28
35,"2,400","2,340","2,400","2,398","2,280","5,447,190.00",2025-03-27
36,"2,405","2,302","2,341","2,398","8,304","19,795,448.00",2025-03-26
37,"2,408","2,341","2,352","2,380","5,734","13,716,207.00",2025-03-25
38,"2,408","2,374","2,389","2,388","5,421","12,991,190.00",2025-03-24
39,"2,408","2,381","2,406","2,408","8,588","20,650,593.00",2025-03-21
40,"2,473","2,410","2,420","2,472","3,644","8,940,099.00",2025-03-20
41,"2,495","2,431","2,435","2,473","3,132","7,731,423.00",2025-03-19
