№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,100.22,99.89,99.89,100.15,"11,328","1,134,194",2025-05-13
2,100.22,99.82,99.82,100.1,"24,814","2,482,071.13",2025-05-12
3,100.22,99.85,100,100.14,"7,167","717,554.87",2025-05-09
4,101.79,99.9,100,100.22,"20,718","2,076,350.35",2025-05-08
5,101,99.86,101,100.03,"5,288","528,952.45",2025-05-07
6,101.8,99.76,99.76,101.53,"16,644","1,674,074.25",2025-05-06
7,101.8,99.71,100,100.7,"16,507","1,656,840.03",2025-05-05
8,101.8,100,101.8,101.79,"13,112","1,329,605.40",2025-05-02
9,101.8,99.9,101.8,101.8,"25,017","2,538,361.20",2025-05-01
10,101.8,99.9,100,100.92,"15,339","1,544,168.20",2025-04-30
11,102,100.01,100.01,102,"5,061","509,312.44",2025-04-29
12,102.95,100,100.21,101.94,"45,687","4,593,587",2025-04-28
13,102.99,100.11,100.12,102.15,"18,209","1,855,297.46",2025-04-25
14,102.99,100.21,102,102.09,"7,658","781,427.05",2025-04-24
15,103.67,100.18,103.65,102.07,"10,317","1,053,954.43",2025-04-23
16,105,105,0,0,"6,666,667","700,000,035.00",2025-04-23
17,103.68,100.13,100.13,103.01,"43,599","4,444,629.35",2025-04-22
18,103.79,100.11,102.96,103.74,"21,294","2,183,098.76",2025-04-21
19,102.97,100.11,102.5,101.7,"40,370","4,104,438.06",2025-04-18
20,102.99,100.04,102,102.99,"13,688","1,386,391.52",2025-04-17
21,102.99,100.01,100.01,102.99,"49,360","4,956,468",2025-04-16
22,103.79,100.01,103,103.34,"17,000","1,740,050.00",2025-04-15
23,103.8,100,100.13,101.26,"49,555","5,041,676.28",2025-04-14
24,103,100.11,103,102.47,"9,742","996,947.07",2025-04-11
25,104.97,100.11,104.97,104.75,"18,308","1,910,392.92",2025-04-10
26,104.97,100.07,104,104.97,"11,913","1,242,784.20",2025-04-09
27,104.99,100.05,102,104.98,"21,321","2,201,755.78",2025-04-08
28,104.99,100.01,100.01,104.99,"24,156","2,502,850.66",2025-04-07
29,109.9,99.93,100,106.58,"41,364","4,315,566.58",2025-04-04
30,104,102.99,103,104,"31,812","3,289,926.74",2025-04-03
31,103,99.91,99.91,103,"20,343","2,069,038.08",2025-04-02
32,102.99,99.8,100.5,102.89,"41,618","4,230,349.26",2025-04-01
33,103,100.5,100.5,102.9,"34,237","3,514,757.52",2025-03-31
34,102.99,100.58,102.99,102.66,"12,483","1,281,873.59",2025-03-28
35,103.49,99.5,100.08,103.29,"20,678","2,119,183.47",2025-03-27
36,103,99.71,100,102.99,"55,162","5,586,420.31",2025-03-26
37,103,100.1,100.5,102.87,"32,779","3,348,735.15",2025-03-25
38,103.98,100.09,100.09,103.33,"13,259","1,360,196.71",2025-03-24
39,103.99,99.7,100.8,103.99,"9,565","987,517.81",2025-03-21
40,103.99,100,100.62,101.32,"37,749","3,828,719.64",2025-03-20
41,104.49,100.51,100.51,104,"13,194","1,363,263.86",2025-03-19
42,104.98,100.06,100.06,104.06,"19,292","1,989,628.26",2025-03-18
43,104,100,100.13,104,"40,193","4,165,936.88",2025-03-17
44,104,99,99.15,103.99,"28,768","2,983,747.72",2025-03-14
45,103.99,99,101,103.99,"233,174","23,229,547.34",2025-03-13
46,104.5,104,104.5,104.48,"7,457","779,122.79",2025-03-12
47,105,101.6,101.9,104.88,"11,565","1,206,441.90",2025-03-11
48,105,102,102.5,104.99,"1,705,331","179,032,372.05",2025-03-10
49,106,106,0,0,"3,013,827","319,465,662.00",2025-03-10
50,104.98,100.11,100.11,104.97,"11,346","1,171,085.47",2025-03-07
51,104.99,101,104.99,102.47,"47,620","4,894,021.39",2025-03-06
52,104.99,101.56,101.56,104.99,"52,723","5,417,713.38",2025-02-28
53,105,102,102,104.97,"13,391","1,399,078.35",2025-02-27
54,105,101.11,102,105,"37,438","3,843,320.38",2025-02-26
55,105,102,102,104.83,"25,688","2,657,021.80",2025-02-25
56,105,102.01,102.21,104.7,"24,250","2,514,702.78",2025-02-24
57,106,102.2,102.3,104.29,"27,789","2,883,844.51",2025-02-21
58,107,102.21,103,106.89,"14,575","1,526,759.19",2025-02-20
59,107,103,103,106.95,"20,450","2,151,593",2025-02-19
60,107,103.02,107,107,"27,439","2,853,128.72",2025-02-18
61,106,104.5,105,105.87,"112,725","11,930,439.00",2025-02-17
62,107,103,104.01,107.29,"55,718","5,821,596.28",2025-02-14
63,107,104.07,104.07,107.29,"24,484","2,596,499.82",2025-02-13
64,107.32,104.05,104.05,107.28,"24,850","2,636,486.65",2025-02-12
65,107,106.5,106.5,107.32,"15,372","1,643,162.67",2025-02-11
66,107,105,105,107.23,"14,982","1,591,908.21",2025-02-10
67,108,103.03,105,106.95,"19,997","2,119,307.78",2025-02-07
68,107,102.03,105,106.97,"30,499","3,205,244.53",2025-02-06
69,105,103,103.6,103.78,"18,241","1,890,641.20",2025-02-05
70,107,105,105.13,105,"30,124","3,164,275.28",2025-02-04
71,108,105.04,105.5,107.78,"11,439","1,226,390.94",2025-02-03
72,109,105.51,105.51,107.52,"15,808","1,689,448.19",2025-01-31
73,109,105.02,107.93,107.99,"24,602","2,648,466.92",2025-01-30
74,108,104.01,104,107.82,"21,120","2,253,370.64",2025-01-29
75,109,103.6,106,109,"28,157","2,994,187.61",2025-01-28
76,110,106,106,108.32,"17,325","1,868,110.84",2025-01-27
77,110,104.01,105.01,109.57,"46,089","4,943,958.85",2025-01-24
78,110,100.63,107.98,109.52,"38,567","4,128,000.48",2025-01-23
79,110,100.23,107,108.12,"48,306","5,167,214.24",2025-01-22
80,110,100.01,100,110,"113,169","12,059,036.56",2025-01-21
81,104,98.51,99,102,"23,881","2,425,449.39",2025-01-20
82,104,96,102,103,"141,217","13,973,631",2025-01-17
83,104,100,100.14,103.98,"35,878","3,632,022",2025-01-16
84,104,100,100,101,"9,470","956,443",2025-01-15
85,108,96,100,104,"54,023","5,502,830",2025-01-14
86,104,100,100,104,"23,755","2,412,886",2025-01-13
87,106,103,103.02,104,"38,949","4,015,531",2025-01-10
88,106,104,106,106,"14,220","1,492,222.60",2025-01-09
89,108,106,108,106,"1,695","182,122",2025-01-08
90,108,105,108,108,"15,007","1,621,932",2025-01-07
91,109,105.07,109,106,"15,813","1,709,536",2025-01-06
92,110,105,105,108,"9,843","1,053,299",2025-01-03
93,109.99,105,106.31,109.1,"65,737","7,049,487",2025-01-02
94,117,107,111,116,"353,089","40,681,576.89",2024-12-31
95,119,106.5,108,117.41,"485,870","55,373,720.98",2024-12-30
96,110,106.5,108,109.77,"45,374","4,921,594.77",2024-12-27
97,106,106,0,0,"10,785,009","1,143,210,954.00",2024-12-27
98,107,106,107,107,"25,599","2,738,437.60",2024-12-26
99,108,104.72,104.99,108,"59,721","6,309,672",2024-12-25
100,108,104.6,104.99,107.98,"49,608","5,284,287.48",2024-12-24
101,104.99,102.53,104.97,104.92,"51,944","5,406,961.95",2024-12-23
102,104.96,101.11,101.11,104.01,"66,584","6,847,652.40",2024-12-20
103,104.19,99.09,99.09,100.75,"8,059","813,058.79",2024-12-19
104,85,85,0,0,"5,287,733","449,457,305.00",2024-12-19
105,104.29,99.05,99.81,99.38,"10,178","1,022,127.38",2024-12-18
106,104.99,98.62,98.62,104.46,"71,716","7,372,523.33",2024-12-17
107,102.4,98.03,98.03,102.19,"23,854","2,382,587.16",2024-12-16
108,102.9,98.01,98.01,100.99,"36,904","3,713,186.06",2024-12-13
109,100,99,99.99,99.72,"9,509","949,909.67",2024-12-12
110,100,99,99,99.68,"5,816","579,694.16",2024-12-11
111,101,99.1,99.85,99.99,"9,933","991,530.34",2024-12-10
112,100,100,0,0,"6,337,267","633,726,700",2024-12-10
113,101.48,100,100,100.57,"27,903","2,793,992.81",2024-12-09
114,101,100.01,100.97,100.11,"367,990","36,868,154.81",2024-12-06
115,101,100.03,100.08,100.79,"54,609","5,494,395.07",2024-12-05
116,102,100.08,100.31,100.68,"39,229","3,962,972.15",2024-12-04
117,102,100,100,101.97,"49,939","5,060,700.14",2024-12-03
118,103,99.86,101.3,102.31,"75,551","7,735,654.71",2024-12-02
119,102,98.06,98,101.46,"30,089","3,020,112.88",2024-11-29
120,101,98,98.55,99,"71,218","7,044,486",2024-11-28
121,99,96.24,96.24,98.66,"125,471","12,323,053.91",2024-11-27
122,99,96,97,97.88,"90,086","8,835,246",2024-11-25
123,99,95.8,97.84,96.51,"50,398","4,869,499.57",2024-11-22
124,99,96.5,97,97.84,"22,959","2,237,558.52",2024-11-21
125,97,96.06,96.2,96.59,"22,751","2,198,750.84",2024-11-20
126,97,96,96.04,96.81,"29,267","2,831,205",2024-11-19
127,99,96.02,97,97.35,"34,289","3,329,554.95",2024-11-18
128,99,97,98,97,"18,716","1,827,836",2024-11-15
129,99,96,97.5,99.03,"16,829","1,637,178",2024-11-14
130,100,97.83,98,98.77,"15,082","1,488,214.49",2024-11-13
131,100,98,98,99,"17,579","1,726,981",2024-11-12
132,100,98.03,100,99,"17,156","1,699,335.29",2024-11-11
133,100,97.53,99.77,99.8,"42,159","4,166,618.73",2024-11-08
134,100,98.12,99,99.77,"27,422","2,729,122.01",2024-11-07
135,99,98.11,99,98.79,"28,663","2,830,559.32",2024-11-06
136,99,98,99,99,"35,024","3,462,729",2024-11-05
137,100,99.5,100,100,"29,340","2,926,298.13",2024-11-04
138,100,99.5,99.78,99.72,"31,966","3,188,891.73",2024-11-01
139,100,99.14,99,99.79,"21,750","2,165,900.68",2024-10-31
140,100,99,99,99.46,"25,870","2,576,281.43",2024-10-30
141,100,98,99,99,"28,048","2,781,654.67",2024-10-29
142,100,98.5,99,99.47,"25,777","2,563,288.74",2024-10-28
143,100,97.16,97,99.69,"28,425","2,805,742.67",2024-10-25
144,99.8,98,99.8,99.77,"19,467","1,940,106.82",2024-10-24
145,104.49,98.11,103.97,101.75,"28,233","2,880,297.52",2024-10-23
146,106.79,96.33,100,102.46,"47,964","4,820,531.35",2024-10-22
147,100,94.1,98,99.51,"120,406","11,860,235.50",2024-10-21
148,98,96.85,97.99,97.69,"46,948","4,585,060.76",2024-10-18
149,98,92,97.92,96.42,"40,133","3,898,401.85",2024-10-17
150,99.8,96.53,98,98.9,"27,472","2,714,109.76",2024-10-16
151,99.86,95.14,95.14,99.63,"33,744","3,296,207.34",2024-10-15
152,99.99,91.01,99.28,99.53,"56,392","5,524,914.40",2024-10-14
153,99.99,97.9,99,99.45,"13,472","1,337,553.04",2024-10-10
154,100,97.89,100,99.28,"8,109","807,268.73",2024-10-09
155,100,98,98,99.16,"26,095","2,581,446.71",2024-10-08
156,99.99,98,99,99.45,"13,281","1,320,588.04",2024-10-07
157,99.9,97.81,97.81,99.87,"6,569","652,048.05",2024-10-04
158,99.86,97.02,97.02,99.52,"12,107","1,194,814.85",2024-10-03
159,99.89,97,97.08,99.65,"41,884","4,108,112.41",2024-10-02
160,99.8,95,99.5,99.72,"49,624","4,859,973.26",2024-09-30
161,100,99.92,99.94,99.99,"17,988","1,798,272.85",2024-09-27
162,99.97,97.05,97.05,99.95,"22,131","2,181,574.23",2024-09-26
163,100,96.5,97.26,98.12,"67,195","6,606,927.33",2024-09-25
164,100,97.13,97.13,99.85,"27,980","2,789,168.28",2024-09-24
165,99.99,97.11,99.96,99.98,"20,097","1,991,750.80",2024-09-23
166,100,97.14,99.9,99.99,"23,131","2,288,472.93",2024-09-20
167,99.99,97.1,97.1,99.9,"33,461","3,315,426",2024-09-19
168,100,97.1,99.98,98.59,"18,089","1,786,215.41",2024-09-18
169,100,98.01,99.9,99.98,"6,875","685,381.30",2024-09-17
170,100,97,97.61,99.81,"87,686","8,599,640.10",2024-09-16
171,100,97.51,97.51,99.65,"8,350","830,272.63",2024-09-13
172,100,97.21,97.21,100,"11,018","1,091,936.38",2024-09-12
173,99.99,97.08,97.08,99.67,"20,112","1,977,859.76",2024-09-11
174,100,98,98,99.8,"219,756","21,897,449.30",2024-09-10
175,100,98.2,98.2,99.67,"20,070","1,980,030.60",2024-09-09
176,100,98.2,98.2,100,"14,227","1,420,062.70",2024-09-06
177,100,98.14,98.14,100,"9,120","902,200.00",2024-09-05
178,100,99.3,100,100,"18,460","1,843,321.60",2024-09-04
179,101,100,101,100.75,"6,077","612,587.00",2024-09-03
180,102,100,100,102,"1,056,617","107,677,789",2024-09-02
181,102,100.03,100,101.99,"14,460","1,457,796.28",2024-08-30
182,102,100,101.9,100.37,"49,609","4,985,095",2024-08-29
183,102,100,100,102,"43,910","4,411,469",2024-08-28
184,101,100,100,101,"21,215","2,132,079",2024-08-27
185,101,100,100,101,"23,892","2,403,311",2024-08-26
186,102,100,100,102,"27,572","2,806,794",2024-08-23
187,103,99,100,102,"45,385","4,623,678",2024-08-22
188,102,100,101,102,"22,144","2,228,819",2024-08-21
189,102,98,101,101,"38,640","3,867,754",2024-08-20
190,102,100,100,101,"67,848","6,817,576",2024-08-19
191,102,100,100,100,"55,298","5,548,354",2024-08-16
