№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,610,602,602,604,800,"483,196",2025-05-13
2,615,581,612,611,"1,548","943,030.00",2025-05-12
3,615,609,609,612,"3,190","1,950,657.50",2025-05-09
4,616,607,616,615,"1,949","1,196,964.78",2025-05-08
5,630,616,630,618,656,"405,339.16",2025-05-07
6,630,616,630,630,"1,228","763,959.77",2025-05-06
7,630,616,616.06,629.38,"2,529","1,566,095.18",2025-05-05
8,630,616,630,630,"1,447","903,269.68",2025-05-02
9,630,616,630,630,"2,830","1,774,512.00",2025-05-01
10,635,616,635,630,"1,149","715,614.66",2025-04-30
11,635,618,635,635,"1,349","846,174.92",2025-04-29
12,635,616,635,635,"2,257","1,408,245",2025-04-28
13,647,615,635,635,"2,641","1,676,240.87",2025-04-25
14,646,614,645,634,"1,650","1,046,704.50",2025-04-24
15,646,613,646,624,990,"619,742.10",2025-04-23
16,646,612,612,646,"5,512","3,386,249.80",2025-04-22
17,647,611,647,646,"2,227","1,397,882.23",2025-04-21
18,648,648,648,648,"1,560","1,010,833.20",2025-04-18
19,648,611,648,647,"1,772","1,099,315.64",2025-04-17
20,649,607,649,647,"1,322","839,751.21",2025-04-16
21,650,620,650,650,902,"568,302",2025-04-15
22,650,615,646,643,"6,274","3,943,781.10",2025-04-14
23,650,620,638,645,"1,922","1,231,314.48",2025-04-11
24,638,620,636,637,"6,794","4,254,801.97",2025-04-10
25,650,623,650,638,"1,809","1,136,617.39",2025-04-09
26,654,623,632,654,"5,334","3,374,884.13",2025-04-08
27,660,632,632,647,"4,919","3,166,210.63",2025-04-07
28,669,633,633,669,"1,267","821,909.17",2025-04-04
29,669,660,660,669,"2,370","1,576,709.23",2025-04-03
30,667,630,667,667,"2,132","1,385,059.57",2025-04-02
31,668,630,635,668,"1,846","1,195,282.17",2025-04-01
32,670,630,657,670,"2,412","1,612,519.22",2025-03-31
33,670,630,664,658,"1,510","998,456.76",2025-03-28
34,670,624,624,665,"4,218","2,737,156.18",2025-03-27
35,660,620,620,660,"6,306","4,028,599.02",2025-03-26
36,670,615,615,664,"2,232","1,436,549.90",2025-03-25
37,665,615,640,624,"21,041","13,141,589.33",2025-03-24
38,670,640,653,650,"3,862","2,514,033.29",2025-03-21
39,670,644,645,660,"2,654","1,736,555.46",2025-03-20
40,670,645,670,669,"1,382","914,563.15",2025-03-19
41,673,645,645,665,"2,371","1,564,184.93",2025-03-18
42,673,645,663,672,"2,759","1,818,443.75",2025-03-17
43,673,640,650,668,"2,005","1,332,816.80",2025-03-14
44,673,630,630,667,"1,420","925,959.40",2025-03-13
45,673,673,673,673,412,"277,275.60",2025-03-12
46,675,628,675,675,"5,591","3,637,713.50",2025-03-11
47,681,655,655,681,"1,058","708,819.48",2025-03-10
48,682,660,660,681.94,781,"526,013.46",2025-03-07
49,682,660,660,682,"1,299","872,402.05",2025-03-06
50,681,650,660,681,"2,010","1,331,311.47",2025-02-28
51,682,652,676,681,"1,510","1,016,362.23",2025-02-27
52,682,652,652,682,"1,049","699,186.44",2025-02-26
53,682,658,658,680,"1,601","1,069,955.32",2025-02-25
54,680,650,665,671,"1,669","1,115,059.82",2025-02-24
55,682,655,655,670,"2,222","1,478,696.42",2025-02-21
56,683,680,683,682,575,"392,462.01",2025-02-20
57,684,658,660,683,917,"614,103.49",2025-02-19
58,684,660,665,683,"1,571","1,051,452.55",2025-02-18
59,673,667,667,673,"2,884","1,927,667",2025-02-17
