№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,929,926.34,928.99,928.49,"10,596","9,842,187",2025-04-25
2,929,910.01,910.01,926.34,"12,965","11,930,819.80",2025-04-24
3,921,910.01,913,917.86,"21,644","19,788,451.26",2025-04-23
4,915,901.83,901.83,913.44,"18,397","16,758,322.73",2025-04-22
5,911,900,911,901.83,"52,971","48,023,224.45",2025-04-21
6,925,911,925,921.88,"11,868","10,936,230.94",2025-04-18
7,925,910,910,915.96,"3,459","3,159,197.11",2025-04-17
8,925,908.02,924,910.48,"21,026","19,192,015.18",2025-04-16
9,921,912,920,914.66,"14,025","12,840,139.60",2025-04-15
10,925,910,910,924.15,"11,538","10,559,485.84",2025-04-14
11,926,902,902,913.54,"29,823","27,157,127.68",2025-04-11
12,928,915,918,918.02,"25,332","23,326,913",2025-04-10
13,928,900,928,909.94,"32,095","29,408,544.80",2025-04-09
14,960,916,960,936.13,"25,362","23,920,772.84",2025-04-08
15,973,950,970.57,963.16,"24,223","23,185,156.05",2025-04-07
16,973,965,973,970.57,"22,112","21,425,560.92",2025-04-04
17,977,970,974,973.81,"20,695","20,152,322.37",2025-04-03
18,980,977,979,977.4,"16,252","15,902,171.02",2025-04-02
19,980,976,978,978.81,"14,098","13,784,280.29",2025-04-01
20,988,974.1,975,978.71,"24,737","24,151,192.69",2025-03-31
21,975,970,970,974.78,"10,539","10,254,085",2025-03-28
22,979,970,976.01,974.49,"13,911","13,562,744.92",2025-03-27
23,989,971,973.41,979.56,"7,098","6,947,087.44",2025-03-26
24,985,970,975,973.41,"11,483","11,177,756.08",2025-03-25
25,990,950,985,963.47,"38,990","38,158,830.61",2025-03-24
26,994,987,991,990.12,"21,783","21,581,094.84",2025-03-21
27,993,991,992,991.56,"5,543","5,495,095.46",2025-03-20
28,994,991,994,991.74,"5,438","5,400,715.50",2025-03-19
29,994,990,991,993.5,"14,143","14,022,832.50",2025-03-18
30,994.5,991,994,993.78,"7,540","7,484,289.46",2025-03-17
31,994,986,991.1,990.08,"13,971","13,843,526.04",2025-03-14
32,994,991,994,991.57,"14,607","14,493,183.72",2025-03-13
33,995,991.6,993.9,994.28,"6,574","6,532,777.30",2025-03-12
34,996,992,993,993.23,"17,230","17,127,867.89",2025-03-11
35,994.9,985,991,991.24,"24,057","23,816,515.69",2025-03-10
36,995,990,994,991.5,"9,926","9,861,991.83",2025-03-07
37,996,985,994,994.28,"22,420","22,255,746.43",2025-03-06
