№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,45,44,45,45,"23,221","1,034,095",2025-05-13
2,46,45,46,45,"32,720","1,479,561.73",2025-05-12
3,46,45,46,45,"10,822","490,112.11",2025-05-09
4,46,45,46,46,"18,321","826,409.80",2025-05-08
5,46,45,46,46,"10,435","470,811.82",2025-05-07
6,46,45,46,46,"19,639","885,815.10",2025-05-06
7,47,45,47,46,"38,381","1,756,100.92",2025-05-05
8,47,45,45,46,"162,707","7,407,363.63",2025-05-02
9,46,45,46,45,"51,935","2,358,580.50",2025-05-01
10,46,45,45,46,"51,110","2,307,630.50",2025-04-30
11,46,44,44,45,"44,693","1,984,961.14",2025-04-29
12,46,44,45,44,"46,395","2,063,652",2025-04-28
13,46,45,45,46,"88,861","3,999,434.75",2025-04-25
14,45,44,45,45,"95,470","4,265,691.26",2025-04-24
15,46,45,46,45,"9,575","434,101.39",2025-04-23
16,46,45,45,46,"184,133","8,340,928.30",2025-04-22
17,46,45,46,45,"18,878","856,030.74",2025-04-21
18,46,45,46,46,"201,290","9,258,967.80",2025-04-18
19,46,45,45,46,"4,814","219,443.78",2025-04-17
20,46,44,46,45,"19,077","859,350.23",2025-04-16
21,46,44,46,44,"40,677","1,793,871",2025-04-15
22,46,44,44,45,"101,765","4,569,761.39",2025-04-14
23,47,44,47,46,"25,033","1,121,838.65",2025-04-11
24,47,44,47,44,"160,245","7,092,450.80",2025-04-10
25,48,45,45,45,"29,011","1,309,823.85",2025-04-09
26,48,45,46,47,"49,522","2,314,504.95",2025-04-08
27,46,45,45,45,"20,639","937,708.11",2025-04-07
28,47,45,47,45,"2,780","126,470.51",2025-04-04
29,48,47,48,47,"1,040","49,438.04",2025-04-03
30,48,47,47,48,"96,126","4,518,190.84",2025-04-02
31,47,45,46,47,"290,426","13,222,595.59",2025-04-01
32,47,45,47,45,"4,974","232,704.47",2025-03-31
33,47,45,46,45,"3,189","147,975.65",2025-03-28
34,47,45,46,46,"6,680","306,176.86",2025-03-27
35,48,45,48,45,"4,992","232,668.38",2025-03-26
36,48,45,47,46,"5,354","249,310.74",2025-03-25
37,48,46,47,46,"26,841","1,252,541.37",2025-03-24
38,47,45,47,47,"12,230","564,286.31",2025-03-21
39,47,45,47,45,"287,461","12,989,654.16",2025-03-20
40,47,47,47,47,"2,362","111,501.75",2025-03-19
41,48,45,48,45,"52,006","2,367,358.90",2025-03-18
42,48,47,48,47,"64,490","3,057,184.40",2025-03-17
43,48,47,48,48,"30,513","1,464,596.00",2025-03-14
44,48,47,48,48,"5,731","275,023.00",2025-03-13
45,48,46,48,46,"2,609","124,175.01",2025-03-12
46,48,44,48,48,"86,556","4,023,482.95",2025-03-11
47,48,47,48,48,"23,019","1,090,099.60",2025-03-10
48,50,48,50,48.52,"7,409","364,551.42",2025-03-07
49,50,49,50,50,"4,711","232,074.35",2025-03-06
50,50,49,49,50,"8,995","447,312.35",2025-02-28
51,50,48,50,48,"81,820","4,011,872.04",2025-02-27
52,50,49,49,50,"23,691","1,178,349.25",2025-02-26
53,50,48,50,49,"193,996","9,315,998.03",2025-02-25
54,50,49,50,49,"16,677","819,914.89",2025-02-24
55,50,49,50,50,"2,342","116,429.33",2025-02-21
56,50,48,48,50,"20,870","1,012,321.05",2025-02-20
57,51,48,50,48,"556,398","26,801,430.23",2025-02-19
58,51,49,51,49,"24,888","1,228,937.40",2025-02-18
59,51,50,50,51,"27,570","1,381,333",2025-02-17
60,51,50,51,51,"16,226","827,048.41",2025-02-14
61,51,49,51,51,"46,000","2,301,291.12",2025-02-13
62,51,48,50,49,"17,294","844,546.62",2025-02-12
63,52,49,49,50,"55,914","2,794,443.51",2025-02-11
64,50,49,50,50,"10,410","511,121.21",2025-02-10
65,50,48,50,50,"7,077","352,764.52",2025-02-07
66,50,47,49,48,"35,379","1,735,397.02",2025-02-06
67,50,49,50,49,"11,777","583,607.38",2025-02-05
68,50,50,50,50,"4,612","229,352.50",2025-02-04
69,50,49,50,50,"14,343","710,470.61",2025-02-03
70,50,49,49,49,"26,681","1,319,681.07",2025-01-31
71,50,48,49,49,"128,702","6,345,815.32",2025-01-30
72,49,48,49,49,"6,331","309,474.11",2025-01-29
73,49,47,47,47,"72,036","3,397,522.77",2025-01-28
74,49,47,47,49,"8,423","402,556.54",2025-01-27
75,49,47,49,47,"247,420","11,663,202.29",2025-01-24
76,49,48,49,48,"71,609","3,414,549.79",2025-01-23
77,49,49,49,49,"5,674","278,026.00",2025-01-22
78,49,48,49,49,"40,980","1,997,037.90",2025-01-21
79,49,48,49,48,"41,489","2,015,448.84",2025-01-20
80,49,49,49,49,"16,307","800,673.25",2025-01-17
81,49,49,49,49,"84,231","4,159,033.28",2025-01-16
82,49,48,49,49,"8,446","412,188",2025-01-15
83,49,49,49,49,"17,536","865,106",2025-01-14
84,49,47,47,49,"16,376","784,691",2025-01-13
85,49,47,49,49,"24,962","1,207,532",2025-01-10
86,49,47,48,49,"66,579","3,164,391",2025-01-09
87,50,46,50,46,"528,107","24,661,566",2025-01-08
88,50,48,49,50,"46,646","2,268,572.25",2025-01-07
89,49,49,49,49,"48,891","2,393,571",2025-01-06
90,50,49,50,49,"2,790","139,257",2025-01-03
91,50,48,48,50,"5,213","255,549",2025-01-02
92,50,49,50,50,"4,366","217,044",2024-12-31
93,50,49,49,50,"52,639","2,608,623",2024-12-30
94,50,50,50,50,"1,475","73,749.50",2024-12-27
