№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"1,036","1,029","1,030","1,033","106,447","109,777,673",2025-05-13
2,"1,038","1,032","1,036","1,033","30,649","31,737,795.00",2025-05-12
3,"1,040","1,025","1,040","1,038","27,992","29,003,642.00",2025-05-09
4,"1,045","1,030","1,041","1,044","47,634","49,353,996.00",2025-05-08
5,"1,051","1,030","1,051","1,050","85,960","89,535,579.00",2025-05-07
6,"1,054","1,050","1,052","1,052","15,625","16,434,355.00",2025-05-06
7,"1,057","1,046","1,050","1,056","13,360","14,036,161.00",2025-05-05
8,"1,060","1,050","1,057","1,055","29,566","31,208,677.00",2025-05-02
9,"1,058","1,055","1,057","1,057","21,762","22,989,211.00",2025-05-01
10,"1,060","1,050","1,055","1,059","24,696","26,098,881.00",2025-04-30
11,"1,062","1,050","1,050","1,060","27,820","29,438,638.00",2025-04-29
12,"1,058","1,041","1,055","1,056","35,008","36,854,734",2025-04-28
13,"1,058","1,045","1,050","1,055","9,317","9,801,925.00",2025-04-25
14,"1,063","1,050","1,054","1,052","33,074","34,884,963.00",2025-04-24
15,"1,070","1,052","1,062","1,052","24,994","26,360,004.00",2025-04-23
16,"1,080","1,055","1,055","1,060","90,155","95,783,336.00",2025-04-22
17,"1,080","1,030","1,030","1,078","44,758","47,363,869.00",2025-04-21
18,"1,034","1,024","1,030","1,029","35,963","36,987,804.00",2025-04-18
19,"1,044","1,035","1,043","1,037","7,146","7,414,036.00",2025-04-17
20,"1,048","1,032","1,047","1,042","5,849","6,084,405.00",2025-04-16
21,"1,049","1,034","1,040","1,044","18,596","19,370,681",2025-04-15
22,"1,053","1,040","1,045","1,050","3,178","3,321,618.00",2025-04-14
23,"1,054","1,040","1,047","1,048","6,874","7,189,188.00",2025-04-11
24,"1,050","1,024","1,024","1,032","130,722","134,363,087.00",2025-04-10
25,"1,025","1,020","1,025","1,022","12,976","13,250,508.00",2025-04-09
26,"1,029","1,019","1,025","1,023","33,511","34,271,762.00",2025-04-08
27,"1,029","1,022","1,023","1,028","4,120","4,224,399.00",2025-04-07
28,"1,054","1,020","1,020","1,027","7,069","7,260,290.00",2025-04-04
29,"1,064","1,010","1,025","1,020","12,998","13,219,635.00",2025-04-03
30,"1,065","1,015","1,050","1,024","18,895","19,457,778.00",2025-04-02
31,"1,069","1,026","1,060","1,028","25,628","26,437,069.00",2025-04-01
32,"1,071","1,040","1,070","1,044","16,426","17,243,148.00",2025-03-31
33,"1,060","1,020","1,020","1,056","14,073","14,632,782.00",2025-03-28
34,"1,049","1,004","1,029","1,043","34,685","35,238,554.00",2025-03-27
35,"1,075","1,001","1,056","1,030","42,398","43,985,391.00",2025-03-26
36,"1,095","1,055","1,095","1,059","52,869","57,446,837.00",2025-03-25
37,"1,149","1,130","1,130","1,132","7,844","8,893,846.00",2025-03-24
38,"1,155","1,142","1,149","1,153","54,725","63,123,267.00",2025-03-21
39,"1,154","1,100","1,154","1,150","25,046","28,565,403.00",2025-03-20
40,"1,156","1,151","1,155","1,154","34,160","39,421,688.00",2025-03-19
41,"1,158","1,155","1,158","1,155","9,853","11,401,073.00",2025-03-18
42,"1,158","1,156","1,156","1,157","5,235","6,058,321.00",2025-03-17
43,"1,158","1,155","1,156","1,156","12,169","14,075,846.00",2025-03-14
44,"1,159","1,152","1,155","1,156","8,633","9,975,979.00",2025-03-13
45,"1,157","1,151","1,157","1,155","28,756","33,126,850.00",2025-03-12
46,"1,171","1,152","1,171","1,155","37,945","44,047,286.00",2025-03-11
47,"1,180","1,171","1,180","1,174","6,485","7,636,199.00",2025-03-10
48,"1,183","1,180","1,181","1,181.00","16,007","18,899,275.00",2025-03-07
49,"1,185","1,181","1,181","1,182","5,317","6,287,725.00",2025-03-06
50,"1,184","1,175","1,180","1,184","48,225","56,705,007.00",2025-02-28
51,"1,185","1,180","1,183","1,180","26,695","31,543,967.00",2025-02-27
52,"1,187","1,180","1,185","1,180","21,886","25,922,974.00",2025-02-26
53,"1,193","1,183","1,183","1,185","27,629","32,748,043.00",2025-02-25
54,"1,205","1,182","1,205","1,185","59,020","70,419,813.00",2025-02-24
55,"1,211","1,182","1,209","1,199","17,883","21,503,477.00",2025-02-21
56,"1,219","1,164","1,164","1,196","60,511","71,139,334.00",2025-02-20
57,"1,250","1,080","1,080","1,160","169,615","197,907,622.00",2025-02-19
58,"1,404","1,193","1,404","1,198","252,208","325,438,428.00",2025-02-18
59,"1,440","1,395","1,395","1,403","227,771","320,006,714",2025-02-17
60,"1,400","1,294","1,294","1,368","165,433","220,743,378.00",2025-02-14
61,"1,293","1,289","1,291","1,291","32,661","42,207,719.00",2025-02-13
62,"1,295","1,292","1,294","1,293","23,701","30,660,503.00",2025-02-12
63,"1,296","1,293","1,293","1,294","21,805","28,204,503.00",2025-02-11
64,"1,300","1,289","1,291","1,296","40,176","51,993,852.00",2025-02-10
65,"1,300","1,288","1,290","1,292","111,198","143,558,584.00",2025-02-07
66,"1,290","1,288","1,290","1,290","139,566","179,949,468.00",2025-02-06
