№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"1,077","1,070","1,075","1,071","92,790","99,577,355",2025-05-13
2,"1,078","1,070","1,070","1,078","188,122","202,110,568.00",2025-05-12
3,"1,077","1,068","1,070","1,071","120,871","129,548,320.00",2025-05-09
4,"1,073","1,060","1,070","1,069","164,606","175,903,016.00",2025-05-08
5,"1,077","1,070","1,076","1,071","64,942","69,756,011.00",2025-05-07
6,"1,077","1,068","1,070","1,074","161,561","172,940,210.00",2025-05-06
7,"1,072","1,060","1,066","1,070","311,616","333,072,470.00",2025-05-05
8,"1,069","1,060","1,064","1,067","220,963","235,320,156.00",2025-05-02
9,"1,071","1,065","1,069","1,068","197,884","211,515,201.00",2025-05-01
10,"1,055","1,055",0,0,"521,376","550,051,680.00",2025-05-01
11,"1,073","1,030","1,070","1,069","517,977","550,104,842.00",2025-04-30
12,"1,074","1,067","1,070","1,070","94,091","100,690,056",2025-04-29
13,"1,077","1,064","1,068","1,071","147,691","157,858,191.00",2025-04-28
14,"1,074","1,066","1,070","1,068","167,072","178,547,698.00",2025-04-25
15,"1,078","1,063","1,074","1,067","107,847","115,240,292.00",2025-04-24
16,"1,077","1,063","1,072","1,074","52,276","56,115,192.00",2025-04-23
17,"1,078","1,060","1,060","1,075","103,139","110,519,380.00",2025-04-22
18,"1,075","1,050","1,073","1,061","130,151","138,154,928.00",2025-04-21
19,"1,076","1,055","1,055","1,073","137,533","145,916,639.00",2025-04-18
20,"1,075","1,050","1,075","1,052","101,218","107,280,121.00",2025-04-17
21,"1,078","1,065","1,078","1,070","12,058","12,933,411",2025-04-16
22,"1,078","1,060","1,077","1,062","151,595","162,076,846.00",2025-04-15
23,"1,083","1,070","1,083","1,078","50,982","55,062,978.00",2025-04-14
24,"1,097","1,077","1,080","1,084","48,827","52,990,175.00",2025-04-11
