№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,81,80,81,81,"56,689","4,588,339",2025-05-13
2,82,80,81,82,"18,054","1,485,366.83",2025-05-12
3,81,80,81,80,"56,591","4,556,154.25",2025-05-09
4,81,79,79,81,"6,072","487,602.23",2025-05-08
5,82,79,82,82,"9,049","716,673.94",2025-05-07
6,82,78,82,79,"34,803","2,770,952.09",2025-05-06
7,83,79,81,81,"97,637","7,874,114.84",2025-05-05
8,83,79,81,80,"14,495","1,174,026.78",2025-05-02
9,81,77,78,77,"38,113","2,961,754.69",2025-05-01
10,82,75,81,78,"40,804","3,158,368.63",2025-04-30
11,83,81,81,82,"3,902","319,188.01",2025-04-29
12,83,82,83,83,"2,127","175,599",2025-04-28
13,83,82,83,82,"7,701","637,875.91",2025-04-25
14,83,82,83,83,"1,273","105,361.86",2025-04-24
15,84,80,80,83,"20,206","1,618,338.00",2025-04-23
16,85,80,80,84,"6,845","553,144.50",2025-04-22
17,85,80,85,80,"7,161","582,762.12",2025-04-21
18,85,80,84,85,"91,216","7,664,502.46",2025-04-18
19,85,80,83,84,"12,416","1,029,062.63",2025-04-17
20,83,80,83,83,"5,553","452,407.74",2025-04-16
21,83,80,83,83,"55,166","4,416,700",2025-04-15
22,84,80,84,84,"7,807","647,719.62",2025-04-14
23,85,76,80,84,"63,986","5,070,164.17",2025-04-11
24,80,76,80,77,"36,385","2,842,604.65",2025-04-10
25,83,80,83,80,"23,819","1,911,141.70",2025-04-09
26,85,80,84,85,"598,274","49,599,585.00",2025-04-08
27,84,80,83,82,"9,570","787,420.23",2025-04-07
28,87,82,87,85,"37,573","3,083,578.00",2025-04-04
29,87,82,87,87,"40,128","3,313,098.15",2025-04-03
30,88,85,85,87,"3,211","282,060.46",2025-04-02
31,88,82,88,82,"6,497","570,901.67",2025-04-01
32,89,79,79,89,"211,778","18,490,451.54",2025-03-31
33,84,80,84,81,"12,173","982,567.96",2025-03-28
34,84,80,80,80,"6,623","534,608.05",2025-03-27
35,86,79,80,84,"249,688","20,652,971.44",2025-03-26
36,81,80,81,81,"8,589","687,778.25",2025-03-25
37,82,79,80,81,"6,832","543,492.33",2025-03-24
38,82,79,80,82,"9,338","744,526.22",2025-03-21
39,82,78,78,80,"21,410","1,682,568.47",2025-03-20
40,80,78,80,80,"1,941","153,203.87",2025-03-19
41,82,78,81,80,"12,152","962,828.32",2025-03-18
42,82,81,82,82,"3,161","258,823.58",2025-03-17
43,82,79,82,82,"7,282","581,471.92",2025-03-14
44,82,80,80,82,"9,971","804,770.60",2025-03-13
45,83,80,83,80,"31,939","2,560,351.95",2025-03-12
46,83,81,83,81,"83,840","6,811,240.43",2025-03-11
47,83,83,83,83,"5,728","475,396.22",2025-03-10
48,83,81,83,82.99,"71,890","5,837,117.63",2025-03-07
