№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"12,000","12,000","12,000","12,000",1,"12,000",2025-05-13
2,"12,500","12,500","12,500","12,500",20,"250,000.00",2025-05-08
3,"12,500","12,500","12,500","12,500",1,"12,500.00",2025-05-07
4,"13,000","13,000","13,000","13,000",5,"65,000.00",2025-05-02
5,"13,000","13,000","13,000","13,000",1,"13,000.00",2025-04-29
6,"13,000","13,000","13,000","13,000",2,"26,000.00",2025-04-24
7,"12,500","12,500","12,500","12,500",100,"1,250,000.00",2025-04-22
8,"12,250","11,000","11,000","12,250",95,"1,050,500.00",2025-04-21
9,"12,500","12,000","12,500","12,250",18,"220,500.00",2025-04-17
10,"12,500","12,500","12,500","12,500",1,"12,500.00",2025-04-14
11,"14,500","14,500","14,500","14,500",1,"14,500.00",2025-04-08
12,"15,000","15,000","15,000","15,000",1,"15,000",2025-04-04
13,"14,010","14,010","14,010","14,010",20,"280,200.00",2025-03-31
14,"16,000","14,010","14,010","16,000",105,"1,481,000.00",2025-03-28
15,"15,000","14,000","14,000","14,010",102,"1,429,000.00",2025-03-21
16,"15,500","15,500","15,500","15,500",1,"15,500.00",2025-03-20
17,"17,000","17,000","17,000","17,000",2,"34,000.00",2025-03-10
18,"15,000","15,000","15,000","15,000",1,"15,000.00",2025-03-06
19,"15,980","15,980","15,980","15,980",7,"111,860.00",2025-02-27
20,"15,980","15,980","15,980","15,980",1,"15,980.00",2025-02-26
21,"15,000","15,000","15,000","15,000",26,"390,000",2025-02-13
22,"15,120","15,120","15,120","15,120",108,"1,632,960.00",2025-02-11
23,"15,120","15,120","15,120","15,120",2,"30,240.00",2025-02-10
24,"16,000","16,000","16,000","16,000",10,"160,000.00",2025-01-21
25,"16,400","16,200","16,200","16,370",33,"540,250.00",2025-01-14
26,"16,900","15,100","15,100","16,570",215,"3,500,300.00",2024-12-31
27,"15,100","15,100","15,100","15,100",10,"151,000.00",2024-12-27
28,"15,200","15,200","15,200","15,200",15,"228,000.00",2024-12-26
29,"16,200","16,200","16,200","16,200",1,"16,200.00",2024-12-24
30,"19,000","19,000","19,000","19,000",1,"19,000.00",2024-12-03
31,"19,400","19,400","19,400","19,400",1,"19,400.00",2024-12-02
32,"16,900","15,000","15,000","16,900",4,"65,700.00",2024-11-27
33,"16,900","16,900","16,900","16,900",19,"321,100.00",2024-11-19
34,"16,900","16,900","16,900","16,900",66,"1,115,400.00",2024-11-11
35,"16,900","16,900","16,900","16,900",11,"185,900.00",2024-11-04
36,"16,900","15,500","15,500","16,900",49,"760,900.00",2024-10-25
37,"15,450","15,450","15,450","15,450",1,"15,450.00",2024-10-22
38,"15,000","15,000","15,000","15,000",15,"225,000.00",2024-10-15
39,"15,450","15,450","15,450","15,450",1,"15,450.00",2024-10-14
40,"15,500","15,500","15,500","15,500",1,"15,500.00",2024-10-10
41,"15,000","15,000","15,000","15,000",10,"150,000.00",2024-10-08
42,"15,000","15,000","15,000","15,000",500,"7,500,000.00",2024-10-04
43,"15,100","15,000","15,100","15,000","2,225","33,375,500.00",2024-10-03
44,"15,000","15,000","15,000","15,000",100,"1,500,000.00",2024-10-02
45,"16,000","15,000","15,000","16,000",202,"3,032,000.00",2024-09-30
46,"14,000","14,000","14,000","14,000",2,"28,000.00",2024-09-27
47,"15,000","15,000","15,000","15,000",200,"3,000,000.00",2024-09-25
48,"15,000","15,000","15,000","15,000.00",700,"10,500,000.00",2024-09-24
49,"15,000","15,000","15,000","15,000",100,"1,500,000.00",2024-09-23
50,"16,900","15,000","15,000","15,020",101,"1,516,900.00",2024-09-20
51,"17,000","17,000","17,000","17,000",1,"17,000.00",2024-09-11
52,"17,000","17,000","17,000","17,000",1,"17,000.00",2024-09-03
53,"15,000","15,000","15,000","15,000",10,"150,000.00",2024-08-30
54,"15,000","15,000","15,000","15,000",50,"750,000.00",2024-08-20
55,"16,000","16,000","16,000","16,000",5,"80,000.00",2024-08-12
56,"17,000","17,000","17,000","17,000",2,"34,000.00",2024-07-29
57,"17,000","17,000","17,000","17,000",2,"34,000.00",2024-07-01
58,"17,250","14,990","14,990","17,250",984,"14,833,330.00",2024-06-27
59,"17,250","15,000","15,000","15,040",153,"2,301,750",2024-06-26
60,"15,000","15,000","15,000","15,000",170,"2,550,000.00",2024-06-21
61,"15,010","15,000","15,010","15,000",450,"6,751,200.00",2024-06-20
62,"15,000","15,000","15,000","15,000",20,"300,000.00",2024-06-19
63,"17,250","17,250","17,250","17,250",1,"17,250.00",2024-06-07
64,"15,000","15,000","15,000","15,000",2,"30,000.00",2024-05-31
65,"17,500","17,500","17,500","17,500",1,"17,500.00",2024-05-27
66,"17,900","17,900","17,900","17,900",3,"53,700.00",2024-05-15
67,"16,500","16,500","16,500","16,500",1,"16,500.00",2024-05-13
68,"15,000","15,000","15,000","15,000",5,"75,000.00",2024-05-09
69,"16,500","16,500","16,500","16,500",20,"330,000.00",2024-04-26
70,"16,500","16,000","16,500","16,200",3,"48,600.00",2024-04-12
71,"16,100","16,100","16,100","16,100",1,"16,100.00",2024-04-09
72,"16,100","16,100","16,100","16,100",1,"16,100.00",2024-04-02
73,"17,000","17,000","17,000","17,000",1,"17,000.00",2024-03-25
74,"17,000","17,000","17,000","17,000",1,"17,000.00",2024-03-14
75,"19,500","19,500","19,500","19,500",3,"58,500.00",2024-03-11
76,"17,000","17,000","17,000","17,000",7,"119,000.00",2024-02-26
77,"20,000","20,000","20,000","20,000",14,"280,000.00",2024-02-09
78,"20,000","20,000","20,000","20,000",5,"100,000.00",2024-02-08
79,"21,300","21,300","21,300","21,300",3,"63,900.00",2024-01-18
80,"18,700","18,700","18,700","18,700",1,"18,700.00",2024-01-17
81,"22,000","21,800","21,800","22,000",3,"65,800.00",2023-12-28
82,"21,800","19,000","19,000","21,800",364,"6,918,800",2023-12-27
83,"19,000","18,500","18,500","19,000",100,"1,875,000",2023-12-25
84,"18,000","17,100","17,100","18,000",201,"3,495,600",2023-12-22
85,"17,100","16,000","16,000","16,690",81,"1,352,100",2023-12-21
86,"15,500","15,000","15,000","15,500",18,"275,000",2023-12-20
87,"15,000","15,000","15,000","15,000",2,"30,000",2023-12-19
88,"14,000","14,000","14,000","14,000",4,"56,000.00",2023-12-18
89,"12,750","12,750","12,750","12,750",1,"12,750",2023-12-01
90,"15,000","15,000","15,000","15,000",1,"15,000",2023-10-26
91,"15,000","15,000","15,000","15,000",2,"30,000",2023-10-24
92,"15,000","15,000","15,000","15,000",2,"30,000",2023-10-18
93,"15,000","15,000","15,000","15,000",1,"15,000",2023-10-02
94,"15,000","15,000","15,000","15,000",1,"15,000.00",2023-09-26
95,"15,000","15,000","15,000","15,000",10,"150,000.00",2023-09-25
96,"15,050","15,050","15,050","15,050",404,"6,080,200.00",2023-09-21
97,"15,000","15,000","15,000","15,000",2,"30,000.00",2023-09-13
98,"16,000","16,000","16,000","16,000",1,"16,000.00",2023-09-11
99,"16,800","16,800","16,800","16,800",3,"50,400",2023-09-06
100,"16,900","16,900","16,900","16,900",1,"16,900.00",2023-08-23
101,"15,000","15,000","15,000","15,000",1,"15,000.00",2023-08-22
102,"16,900","16,900","16,900","16,900",10,"169,000.00",2023-08-14
103,"17,000","17,000","17,000","17,000",2,"34,000.00",2023-07-26
104,"17,590","17,590","17,590","17,590",10,"175,900.00",2023-06-29
105,"17,600","17,600","17,600","17,600",5,"88,000.00",2023-06-28
106,"15,800","14,500","14,500","15,800",40,"583,900.00",2023-06-27
107,"14,110","14,110","14,110","14,110",1,"14,110.00",2023-05-29
108,"13,200","13,200","13,200","13,200",1,"13,200.00",2023-05-26
109,"13,500","11,800","13,500","11,970",10,"119,700.00",2023-05-24
110,"12,000","12,000","12,000","12,000",1,"12,000.00",2023-05-23
111,"15,000","14,000","15,000","14,110",79,"1,115,000.00",2023-05-03
112,"15,000","15,000","15,000","15,000",1,"15,000",2023-05-01
113,"16,500","16,500","16,500","16,500",100,"1,650,000.00",2023-03-31
114,"17,000","17,000","17,000","17,000",1,"17,000.00",2023-02-28
115,"17,000","17,000","17,000","17,000",5,"85,000.00",2023-02-27
116,"17,000","17,000","17,000","17,000",1,"17,000.00",2023-02-17
117,"18,000","18,000","18,000","18,000",1,"18,000.00",2023-02-15
118,"18,500","18,500","18,500","18,500",8,"148,000.00",2023-01-26
119,"18,800","18,800","18,800","18,800",472,"8,873,600.00",2023-01-25
120,"18,900","18,900","18,900","18,900",3,"56,700",2023-01-23
121,"19,000","19,000","19,000","19,000",300,"5,700,000.00",2023-01-10
122,"20,500","19,000","19,000","20,260",178,"3,419,500",2022-12-26
123,"18,950","18,950","18,950","18,950",10,"189,500.00",2022-12-12
124,"18,950","18,950","18,950","18,950",1,"18,950.00",2022-12-08
125,"18,900","18,900","18,900","18,900",1,"18,900.00",2022-12-01
126,"19,000","17,700","17,700","19,000",180,"3,278,000",2022-11-29
127,"17,800","17,800","17,800","17,800",10,"178,000.00",2022-11-22
128,"16,500","16,500","16,500","16,500",16,"264,000",2022-11-21
129,"16,500","16,500","16,500","16,500",30,"495,000",2022-11-04
130,"16,500","16,500","16,500","16,500",10,"165,000.00",2022-11-03
131,"16,000","15,100","15,100","15,870",40,"634,900",2022-10-31
132,"14,950","14,950","14,950","14,950",14,"209,300.00",2022-10-28
133,"13,800","13,800","13,800","13,800",3,"41,400.00",2022-10-27
134,"13,000","13,000","13,000","13,000",17,"221,000.00",2022-10-21
135,"13,000","11,500","11,500","12,500",3,"37,500.00",2022-10-19
136,"11,700","11,700","11,700","11,700",9,"105,300",2022-10-10
137,"12,500","12,500","12,500","12,500",8,"100,000.00",2022-10-06
138,"13,500","13,500","13,500","13,500",5,"67,500.00",2022-08-30
139,"15,500","15,500","15,500","15,500",1,"15,500.00",2022-07-20
140,"14,000","13,500","13,500","13,880",4,"55,500.00",2022-06-29
141,"13,500","13,500","13,500","13,500",2,"27,000.00",2022-06-28
142,"12,600","12,600","12,600","12,600",2,"25,200.00",2022-06-24
143,"11,900","11,900","11,900","11,900",93,"1,106,700.00",2022-06-06
144,"11,900","11,900","11,900","11,900",26,"309,400.00",2022-06-02
145,"12,700","12,700","12,700","12,700",1,"12,700.00",2022-05-06
146,"12,700","12,700","12,700","12,700",25,"317,500.00",2022-04-14
147,"14,600","14,600","14,600","14,600",7,"102,200.00",2022-04-07
148,"14,600","14,600","14,600","14,600",4,"58,400.00",2022-04-06
149,"14,600","14,600","14,600","14,600",4,"58,400.00",2022-04-05
150,"12,700","12,700","12,700","12,700",10,"127,000.00",2022-04-04
151,"14,750","14,750","14,750","14,750","12,435","183,416,250.00",2022-03-31
152,"14,940","14,940","14,940","14,940",2,"29,880.00",2022-03-17
153,"15,500","15,500","15,500","15,500",1,"15,500.00",2022-03-11
154,"15,000","14,950","14,950","14,960",5,"74,800.00",2022-03-04
155,"14,950","14,950","14,950","14,950",1,"14,950.00",2022-03-02
156,"14,950","14,950","14,950","14,950",2,"29,900.00",2022-02-25
157,"13,000","13,000","13,000","13,000",1,"13,000.00",2022-02-21
158,"14,990","14,990","14,990","14,990",1,"14,990.00",2022-01-12
159,"16,000","15,000","15,000","15,850",7,"110,970.00",2022-01-10
160,"14,500","14,500","14,500","14,500",3,"43,500.00",2022-01-04
161,"15,700","12,500","12,500","14,990",264,"3,839,450.00",2021-12-31
162,"14,500","14,500","14,500","14,500",102,"1,479,000.00",2021-12-30
163,"14,530","14,500","14,500","14,520",8,"116,120.00",2021-12-28
164,"14,000","12,500","12,550","12,640",11,"139,050.00",2021-12-27
165,"13,000","13,000","13,000","13,000",1,"13,000.00",2021-12-17
166,"14,790","14,790","14,790","14,790",2,"29,580.00",2021-11-23
167,"14,770","14,750","14,750","14,760",23,"339,430",2021-11-10
168,"14,700","14,700","14,700","14,700",5,"73,500.00",2021-11-04
169,"14,700","14,000","14,700","14,180",4,"56,700.00",2021-10-28
170,"14,000","14,000","14,000","14,000",7,"98,000.00",2021-10-25
171,"14,000","14,000","14,000","14,000",3,"42,000.00",2021-10-22
172,"14,850","14,850","14,850","14,850",1,"14,850.00",2021-10-12
173,"14,870","12,750","12,750","14,870",6,"87,100.00",2021-10-07
174,"15,000","14,500","14,500","15,000",14,"206,500.00",2021-10-01
175,"14,300","14,300","14,300","14,300",3,"42,900.00",2021-09-28
176,"12,000","12,000",0,0,"2,068,980","24,827,760,000.00",2021-09-27
177,"14,300","14,000","14,000","14,000",3,"42,300.00",2021-09-24
178,"13,600","13,000","13,000","13,150",8,"105,200.00",2021-09-17
179,"12,100","12,100","12,100","12,100",89,"1,076,900.00",2021-09-14
180,"13,600","12,200","13,600","12,200",16,"203,600",2021-09-09
181,"13,780","13,780","13,780","13,780",1,"13,780.00",2021-09-08
182,"13,000","13,000","13,000","13,000",1,"13,000",2021-09-07
183,"11,500","11,500","11,500","11,500",19,"218,500",2021-09-03
184,"11,900","11,600","11,900","11,700",3,"35,100",2021-08-17
185,"12,000","11,900","11,900","11,990",79,"947,500",2021-08-13
186,"14,000","14,000","14,000","14,000",1,"14,000",2021-07-26
187,"13,900","13,900","13,900","13,900",6,"83,400",2021-07-07
188,"14,490","13,900","13,900","14,490",19,"265,980",2021-06-11
189,"14,000","13,100","13,100","13,400",6,"80,400",2021-06-04
190,"13,910","13,150","13,910","13,300",5,"66,510",2021-06-03
191,"12,930","12,100","12,600","12,100",33,"420,210",2021-06-02
192,"12,800","12,800","12,800","12,800",1,"12,800",2021-05-20
193,"11,600","11,600","11,600","11,600",1,"11,600",2021-04-26
194,"13,000","12,650","12,650","12,850",50,"642,380.00",2021-04-23
195,"12,650","12,650","12,650","12,650",2,"25,300.00",2021-04-22
196,"12,000","12,000","12,000","12,000",10,"120,000",2021-04-19
197,"12,600","12,550","12,550","12,580",3,"37,750",2021-04-12
198,"12,600","12,600","12,600","12,600",1,"12,600.00",2021-04-01
199,"11,320","11,300","11,320","11,320",333,"3,769,320.00",2021-03-29
200,"11,340","11,340","11,340","11,340",1,"11,340.00",2021-03-23
201,"11,250","11,250","11,250","11,250",600,"6,750,000.00",2021-03-11
202,"12,100","11,500","12,100","11,910",47,"559,760.00",2021-03-10
203,"12,010","12,010","12,010","12,010",1,"12,010.00",2021-02-26
204,"12,010","12,010","12,010","12,010",1,"12,010.00",2021-02-24
205,"13,000","13,000","13,000","13,000",170,"2,210,000.00",2021-02-22
206,"12,100","12,010","12,100","12,020",32,"384,500.00",2021-02-19
207,"13,670","13,200","13,200","13,210",103,"1,361,010.00",2021-02-18
208,"13,200","11,900","11,900","13,190",929,"12,251,270.00",2021-02-17
209,"11,900","11,900","11,900","11,900",5,"59,500.00",2021-02-15
