№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"3,900","3,800","3,800","3,849",37,"142,400",2025-05-13
2,"3,950","3,885","3,885","3,949",94,"366,498.00",2025-05-09
3,"3,650","3,600","3,650","3,600",437,"1,593,450.00",2025-05-08
4,"3,800","3,305","3,350","3,343",29,"96,960.00",2025-05-07
5,"3,400","3,302","3,400","3,329",74,"246,371.00",2025-05-02
6,"3,300","3,300","3,300","3,300",341,"1,125,300.00",2025-05-01
7,"3,900","3,500","3,600","3,803",130,"457,520.00",2025-04-29
8,"3,610","3,610","3,610","3,610",17,"61,370.00",2025-04-28
9,"3,615","3,615","3,615","3,615",4,"14,460.00",2025-04-25
10,"3,610","3,610","3,610","3,610",2,"7,220.00",2025-04-24
11,"3,520","3,520","3,520","3,520",20,"70,400.00",2025-04-22
12,"3,900","3,900","3,900","3,900",8,"31,200",2025-04-21
13,"3,800","3,520","3,800","3,520",2,"7,320.00",2025-04-18
14,"3,800","3,800","3,800","3,800",3,"11,400.00",2025-04-16
15,"4,000","3,800","4,000","3,996",71,"283,720.00",2025-04-15
16,"3,980","3,980","3,980","3,980",18,"71,640.00",2025-04-11
17,"3,980","3,980","3,980","3,980",2,"7,960.00",2025-04-10
18,"3,950","3,620","3,620","3,930",101,"396,970.00",2025-04-09
19,"3,620","3,620","3,620","3,620",64,"231,680.00",2025-04-08
20,"3,620","3,620","3,620","3,620",20,"72,400.00",2025-04-04
21,"4,155","4,155","4,155","4,155",10,"41,550",2025-04-01
22,"4,155","4,155","4,155","4,155",1,"4,155.00",2025-03-31
23,"4,158","4,158","4,158","4,158",100,"415,800.00",2025-03-28
24,"3,621","3,621","3,621","3,621",1,"3,621.00",2025-03-27
25,"3,800","3,800","3,800","3,800",455,"1,729,000.00",2025-03-24
26,"3,800","3,800","3,800","3,800",21,"79,800.00",2025-03-21
27,"3,800","3,800","3,800","3,800",55,"209,000.00",2025-03-20
28,"3,800","3,800","3,800","3,800",111,"421,800.00",2025-03-19
29,"4,000","4,000","4,000","4,000",15,"60,000.00",2025-03-18
30,"4,176","4,176","4,176","4,176",1,"4,176.00",2025-03-17
31,"4,004","4,000","4,004","4,003",149,"596,454.00",2025-03-13
32,"4,004","4,004","4,004","4,004",196,"784,784.00",2025-03-12
33,"4,003","4,003","4,003","4,003",10,"40,030.00",2025-03-10
34,"4,199","4,002","4,184","4,176",47,"196,252.00",2025-03-07
35,"4,184","4,001","4,005","4,142",13,"53,851.00",2025-03-06
36,"4,100","4,090","4,090","4,099",108,"442,720.00",2025-02-27
37,"4,090","4,001","4,090","4,001",8,"32,186.00",2025-02-24
38,"4,183","4,109","4,109","4,146",2,"8,292.00",2025-02-18
39,"4,002","4,001","4,002","4,001",25,"100,026.00",2025-02-17
40,"4,190","4,000","4,002","4,184",231,"939,162.00",2025-02-14
41,"4,189","4,000","4,002","4,000",712,"2,848,278.00",2025-02-12
42,"4,002","4,001","4,002","4,001",30,"120,031.00",2025-02-07
43,"4,198","4,198","4,198","4,198",1,"4,198.00",2025-02-06
