№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,73,68,70,70,"27,784","1,939,048",2025-05-13
2,75,70,75,70,"14,362","1,016,727.29",2025-05-12
3,74,68,68,70,"197,558","13,523,419.19",2025-05-09
4,68,67,67,68,"24,889","1,680,880.37",2025-05-08
5,68,66,67,68,"30,500","2,035,370.65",2025-05-07
6,67,66,66,67,"28,976","1,936,703.00",2025-05-06
7,66,64,64,65,"94,797","6,084,480.40",2025-05-05
8,65,64,65,64,"15,307","986,816.96",2025-05-02
9,66,64,65,65,"36,120","2,325,271.11",2025-05-01
10,66,65,66,65,"21,997","1,430,966.70",2025-04-30
11,66,64,66,65,"4,867","319,008.19",2025-04-29
12,67,64,64,64,"54,796","3,542,922",2025-04-28
13,67,63,64,67,"28,801","1,849,291.45",2025-04-25
14,67,63,66,64,"7,078","454,572.66",2025-04-24
15,67,64,65,64,"7,501","479,104.62",2025-04-23
16,68,62,62,67,"235,502","15,063,432.00",2025-04-22
17,64,61,64,62,"53,627","3,297,120.12",2025-04-21
18,64,63,64,64,"4,791","304,681.18",2025-04-18
19,64,61,62,62,"27,832","1,727,016.16",2025-04-17
20,64,62,62,62,"44,625","2,771,877.55",2025-04-16
21,64,61,63,61,"19,160","1,190,460",2025-04-15
22,64,61,64,63,"17,556","1,098,551.44",2025-04-14
23,65,61,62,61,"14,527","901,876.64",2025-04-11
24,65,60,65,62,"222,241","13,812,485.54",2025-04-10
25,69,58,67,59,"705,816","42,161,299.39",2025-04-09
26,70,67,70,69,"51,115","3,459,498.11",2025-04-08
27,72,71,71,71,"29,387","2,083,570.92",2025-04-07
28,71,70,71,71,"45,629","3,209,286.75",2025-04-04
29,72,70,72,71,"75,299","5,377,901.43",2025-04-03
30,72,72,72,72,"50,144","3,602,793.82",2025-04-02
31,72,71,71,72,"21,925","1,566,966.94",2025-04-01
32,72,70,70,72,"68,913","4,910,046.55",2025-03-31
33,71,70,71,71,"12,131","858,019.65",2025-03-28
34,71,70,71,71,"15,093","1,068,184.40",2025-03-27
35,71,70,71,71,"51,303","3,595,184.33",2025-03-26
36,72,70,72,72,"4,188","297,697.14",2025-03-25
37,73,71,71,73,"3,760","269,065.04",2025-03-24
38,73,72,73,73,82,"5,940.00",2025-03-21
39,73,70,72,73,"46,081","3,231,015.44",2025-03-20
40,72,70,70,72,"39,144","2,751,330.81",2025-03-19
41,73,71,71,73,"12,785","916,990.47",2025-03-18
42,73,70,70,73,"10,897","771,089.49",2025-03-17
43,74,70,74,71,"50,906","3,598,457.70",2025-03-14
44,74,71,73,73,"3,981","289,088.30",2025-03-13
45,74,71,72,72,"21,543","1,534,068.59",2025-03-12
46,74,71,74,71,"38,574","2,765,204.67",2025-03-11
47,74,72,72,74,"3,770","276,264.33",2025-03-10
48,75,72,75,72.72,"32,862","2,399,727.40",2025-03-07
49,75,73,73,75,"39,806","2,933,265.81",2025-03-06
50,74,73,74,74,"55,289","4,073,165.92",2025-02-28
51,74,74,74,74,"6,670","493,379.43",2025-02-27
52,75,72,72,74,"54,778","3,992,161.91",2025-02-26
53,75,72,73,74,"31,444","2,309,838.94",2025-02-25
54,74,73,74,73,"24,240","1,788,178.20",2025-02-24
55,75,72,73,75,"224,102","16,413,995.83",2025-02-21
56,74,71,71,74,"46,533","3,329,985.74",2025-02-20
57,75,71,71,74,"46,009","3,262,951.41",2025-02-19
58,75,71,71,74,"8,717","624,317.74",2025-02-18
59,75,71,72,71,"87,181","6,312,953",2025-02-17
60,73,70,72,70,"55,753","3,913,031.74",2025-02-14
61,72,71,72,72,"1,068","76,504.95",2025-02-13
62,72,70,71,72,"3,840","273,559.67",2025-02-12
63,72,70,72,70,"24,792","1,780,162.37",2025-02-11
64,72,70,70,72,"35,795","2,529,046.06",2025-02-10
65,72,70,72,71,"26,546","1,890,661.01",2025-02-07
66,72,70,71,72,"56,967","4,006,268.31",2025-02-06
67,71,70,70,71,"14,570","1,031,730.76",2025-02-05
68,71,70,71,70,"29,796","2,105,593.52",2025-02-04
69,72,71,71,71,"35,056","2,487,765.64",2025-02-03
70,72,71,71,71,"26,207","1,860,722.74",2025-01-31
71,72,71,72,71,"64,738","4,611,102.53",2025-01-30
72,72,71,72,72,"2,206","158,668.47",2025-01-29
73,73,70,71,72,"51,527","3,633,954.79",2025-01-28
74,74,70,72,71,"76,790","5,418,117.37",2025-01-27
75,75,72,75,72,"8,846","652,754.61",2025-01-24
76,75,72,72,75,"17,310","1,265,554.10",2025-01-23
77,75,72,73,75,"27,031","1,970,159.33",2025-01-22
78,75,73,75,73,"11,728","862,017.30",2025-01-21
79,76,72,76,75,"23,239","1,727,846.25",2025-01-20
80,77,75,75,75,"18,100","1,361,488.04",2025-01-17
81,78,76,76,77,"17,785","1,353,756.34",2025-01-16
82,78,75,78,78,"7,269","561,044",2025-01-15
83,79,74,74,78,"11,215","843,073",2025-01-14
84,75,74,75,74,"20,025","1,495,965",2025-01-13
85,75,73,73,75,"49,193","3,665,098",2025-01-10
86,75,73,73,73,"166,194","12,197,797",2025-01-09
87,74,72,73,73,"11,307","826,355",2025-01-08
88,74,72,72,74,"16,918","1,223,986.73",2025-01-07
89,74,70,70,72,"179,554","12,821,588",2025-01-06
90,72,70,70,71,"316,553","22,320,674",2025-01-03
91,71,70,71,71,"208,876","14,726,820",2025-01-02
92,71,70,70,71,"106,897","7,522,264",2024-12-31
93,71,69,70,70,"36,825","2,572,796",2024-12-30
94,71,71,71,71,"17,420","1,231,629.40",2024-12-27
95,71,69,69,71,"19,183","1,355,322.00",2024-12-26
96,70,69,70,69,"17,580","1,222,014.28",2024-12-25
97,70,68,69,70,"97,697","6,673,939.35",2024-12-24
98,70,69,70,69,"45,548","3,159,679.55",2024-12-23
99,70,68,70,69,"28,703","1,969,900",2024-12-20
100,71,69,70,71,"36,926","2,570,997.62",2024-12-19
101,71,70,70,70,"173,652","12,167,613.77",2024-12-18
102,71,71,71,71,"17,341","1,227,618.88",2024-12-17
103,71,69,70,71,"46,245","3,236,973.40",2024-12-16
104,71,69,70,70,"43,627","3,049,153.00",2024-12-13
105,71,70,71,70,"6,272","441,122.52",2024-12-12
106,71,70,70,71,"2,734","191,843.00",2024-12-11
107,71,70,70,70,"86,057","6,015,274.97",2024-12-10
108,71,69,71,70,"94,746","6,589,147.57",2024-12-09
109,72,70,71,71,"14,628","1,033,369.93",2024-12-06
110,72,71,72,72,"13,357","947,252.54",2024-12-05
111,72,71,71,71,"72,951","5,166,280.52",2024-12-04
112,72,71,72,72,"9,306","665,087",2024-12-03
113,72,70,72,71,"7,240","515,758.60",2024-12-02
114,72,70,71,72,"53,213","3,752,589.58",2024-11-29
115,73,70,70,70,"10,347","732,964.00",2024-11-28
116,73,70,73,70,"182,083","12,853,963.83",2024-11-27
117,73,71,72,73,"55,829","4,018,802.20",2024-11-25
118,73,71,72,73,"25,257","1,827,147.77",2024-11-22
