№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,655,655,655,655,20,"13,098",2025-05-13
2,655,655,655,655,53,"34,714.20",2025-05-12
3,670,669,669,670,489,"327,417.80",2025-05-09
4,670,601,620,648,150,"97,240.00",2025-05-08
5,619,601,619,606,404,"244,918.00",2025-05-07
6,620,619,619,620,179,"110,925.00",2025-05-02
7,619,619,619,619,10,"6,190.00",2025-05-01
8,618,601,618,608,895,"552,379.00",2025-04-30
9,618,600,600,600,"1,318","790,980.74",2025-04-29
10,618,600,600,606,"2,737","1,659,466.00",2025-04-28
11,605,604,604,605,816,"493,669.00",2025-04-25
12,605,600,600,605,81,"48,805",2025-04-24
13,605,605,605,605,50,"30,250.00",2025-04-23
14,607,600,600,605,393,"237,900.00",2025-04-22
15,607,601,607,604,102,"61,620.00",2025-04-21
16,607,601,607,601,4,"2,416.00",2025-04-18
17,600,600,600,600,2,"1,200.00",2025-04-17
18,610,600,609,600,114,"69,360.00",2025-04-16
19,607,607,607,607,10,"6,070.00",2025-04-15
20,610,610,610,610,3,"1,830.00",2025-04-14
21,619,619,619,619,232,"143,608",2025-04-11
22,620,619,620,620,350,"216,988.00",2025-04-10
23,620,619,619,619,759,"469,981.00",2025-04-09
24,620,619,619,619,"4,530","2,804,072.00",2025-04-08
25,620,619,620,619,"1,866","1,155,239.00",2025-04-07
26,620,620,620,620,"1,031","639,220.00",2025-04-04
27,620,620,620,620,437,"270,940.00",2025-04-03
28,620,619,619,619,"2,518","1,558,689.00",2025-04-02
29,619,619,619,619,64,"39,616.00",2025-04-01
30,619,619,619,619,2,"1,238.00",2025-03-31
31,619,600,619,603,"1,089","656,868.00",2025-03-28
32,620,619,620,619,112,"69,439.00",2025-03-27
33,610,600,600,600,511,"306,700.00",2025-03-26
34,660,619,660,619,72,"44,650.00",2025-03-25
35,660,660,660,660,118,"77,880.00",2025-03-24
36,660,660,660,660,80,"52,800.00",2025-03-21
37,660,650,660,659,50,"32,885.00",2025-03-19
38,660,660,660,660,75,"49,500.00",2025-03-18
39,679,610,610,679,120,"78,121.00",2025-03-17
40,660,650,660,650,39,"25,640.00",2025-03-14
41,680,660,680,660,150,"101,001.00",2025-03-13
42,680,680,680,680,36,"24,480.00",2025-03-11
43,680,665,665,679,120,"81,045.00",2025-03-10
44,680,680,680,680,42,"28,560.00",2025-03-07
45,690,690,690,690,139,"95,910.00",2025-03-06
46,686,686,686,686,3,"2,058.00",2025-02-27
47,694,690,690,690,"7,830","5,403,268.00",2025-02-26
48,690,690,690,690.00,103,"71,070.00",2025-02-25
49,698,698,698,698,10,"6,980.00",2025-02-24
50,698,690,695,693,386,"267,336.00",2025-02-21
