№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,295,289,292,291,"60,980","17,753,624",2025-05-13
2,294,289,293,289,"48,824","14,199,547.31",2025-05-12
3,294,290,294,291,"80,027","23,353,783.49",2025-05-09
4,300,289,289,294,"24,259","7,131,757.07",2025-05-08
5,289,277,289,288,"78,085","22,154,642.41",2025-05-07
6,300,277,300,281,"141,218","40,184,845.08",2025-05-06
7,310,289,300,292,"138,938","41,336,338.52",2025-05-05
8,330,298,320,300,"410,794","125,554,875.11",2025-05-02
9,327,301,301,323,"77,109","24,145,911.21",2025-05-01
10,309,295,297,299,"150,152","44,812,274.63",2025-04-30
11,300,295,295,298,"86,885","25,847,319.09",2025-04-29
12,300,287,290,294,"85,061","24,939,917",2025-04-28
13,295,266,266,283,"189,366","53,033,460.42",2025-04-25
14,269,250,250,266,"89,135","23,299,483.83",2025-04-24
15,251,246,248,250,"138,885","34,440,081.95",2025-04-23
16,250,241,242,246,"158,883","39,011,402.84",2025-04-22
17,242,233,235,240,"146,415","34,761,602.89",2025-04-21
18,233,228,230,231,"71,628","16,539,820.93",2025-04-18
19,238,230,237,231,"65,829","15,329,656.75",2025-04-17
20,240,236,240,238,"27,686","6,602,401.21",2025-04-16
21,243,229,243,231,"287,063","66,364,541",2025-04-15
22,245,230,236,235,"290,545","67,167,113.53",2025-04-14
23,252,230,252,249,"268,946","63,244,367.98",2025-04-11
24,253,235,239,237,"130,359","31,150,681.77",2025-04-10
25,247,230,247,236,"128,277","30,263,729.32",2025-04-09
26,248,235,242,237,"108,824","26,002,282.76",2025-04-08
27,255,233,242,237,"42,035","10,082,637.77",2025-04-07
28,242,235,236,242,"71,470","16,974,445.86",2025-04-04
29,253,226,250,232,"111,783","25,761,089.64",2025-04-03
30,265,225,265,226,"969,369","221,864,175.21",2025-04-02
31,274,260,273,265,"85,234","22,660,757.86",2025-04-01
32,280,266,277,271,"110,111","29,853,023.48",2025-03-31
33,280,266,280,275,"378,823","104,295,199.26",2025-03-28
34,310,296,298,304,"559,302","168,862,942.24",2025-03-27
35,298,289,290,296,"557,614","162,458,092.70",2025-03-26
36,290,285,285,290,"94,554","27,222,081.14",2025-03-25
37,287,282,285,284,"70,757","20,091,022.21",2025-03-24
38,290,280,290,283,"148,283","42,557,067.99",2025-03-21
39,299,289,299,292,"180,101","52,444,848.95",2025-03-20
40,309,285,300,289,"152,067","44,484,239.72",2025-03-19
41,310,300,310,301,"213,852","64,621,342.77",2025-03-18
42,312,305,306,309,"82,854","25,468,220.28",2025-03-17
43,315,300,313,302,"272,761","83,178,853.75",2025-03-14
44,323,307,320,310,"444,578","139,617,388.29",2025-03-13
45,328,314,317,317,"77,494","24,650,557.20",2025-03-12
46,330,300,318,315,"157,943","49,404,405.49",2025-03-11
47,343,310,330,318,"194,606","62,288,654.95",2025-03-10
48,350,316,350,329.80,"269,777","89,241,505.09",2025-03-07
49,352,348,352,350,"44,733","15,649,248.10",2025-03-06
50,353,349,350,351,"46,055","16,129,162.56",2025-02-28
51,353,346,353,349,"169,937","59,376,777.18",2025-02-27
52,355,330,354,349,"175,764","61,376,795.20",2025-02-26
53,375,350,375,354,"122,250","44,438,131.87",2025-02-25
54,382,370,382,372,"34,698","13,012,657.58",2025-02-24
55,383,377,382,381,"41,062","15,634,959.99",2025-02-21
56,385,380,382,382,"22,840","8,713,023.67",2025-02-20
57,385,375,384,379,"176,606","67,017,959.97",2025-02-19
58,393,380,390,381,"232,270","89,525,875.80",2025-02-18
59,388,373,375,381,"234,654","89,420,278",2025-02-17
60,375,367,367,372,"214,574","79,234,598.02",2025-02-14
61,379,365,375,369,"52,942","19,661,041.36",2025-02-13
62,385,370,385,373,"130,189","48,971,511.60",2025-02-12
63,389,382,389,382,"79,737","30,516,315.70",2025-02-11
64,393,384,391,390,"183,550","71,597,643.74",2025-02-10
65,393,381,390,389,"134,483","52,475,786.99",2025-02-07
66,393,381,393,390,"99,641","38,715,755.04",2025-02-06
67,418,371,371,377,"412,989","157,449,174.90",2025-02-05
68,374,369,370,372,"68,867","25,494,478.71",2025-02-04
69,374,367,368,371,"66,459","24,509,652.49",2025-02-03
70,373,369,373,371,"59,832","22,129,653.34",2025-01-31
71,374,370,371,371,"28,216","10,456,939.00",2025-01-30
72,375,370,370,371,"196,405","73,124,469.44",2025-01-29
73,370,367,368,368,"58,353","21,470,589.19",2025-01-28
74,373,364,373,365,"61,889","22,768,150.89",2025-01-27
75,375,373,375,373,"19,963","7,464,225.84",2025-01-24
76,376,370,370,374,"13,251","4,966,546.94",2025-01-23
77,374,366,368,370,"31,917","11,747,508.91",2025-01-22
78,374,367,374,369,"163,080","60,294,674.90",2025-01-21
79,377,374,375,374,"31,172","11,674,577.11",2025-01-20
80,377,370,377,375,"102,637","38,140,088.27",2025-01-17
81,385,375,385,377,"40,547","15,409,866.49",2025-01-16
82,388,380,387,380,"218,822","83,837,290",2025-01-15
83,390,386,390,387,"34,528","13,401,351",2025-01-14
84,397,385,389,386,"202,531","78,870,733",2025-01-13
85,389,385,389,388,"109,021","42,309,994",2025-01-10
86,387,380,380,385,"157,001","60,326,905",2025-01-09
87,380,370,370,379,"180,026","67,704,985",2025-01-08
88,375,365,365,368,"63,655","23,587,306.69",2025-01-07
89,365,357,362,364,"103,324","37,534,332",2025-01-06
90,365,356,357,358,"114,586","40,881,412",2025-01-03
91,356,354,355,355,"233,229","82,687,962",2025-01-02
92,355,353,355,354,"66,685","23,627,867",2024-12-31
93,357,352,357,353,"54,151","19,176,884",2024-12-30
94,358,353,355,357,"106,066","37,568,399.88",2024-12-27
95,358,357,358,357,"30,282","10,828,648.80",2024-12-26
96,359,355,358,356,"58,388","20,796,213.76",2024-12-25
97,360,355,357,357,"89,431","32,010,621.06",2024-12-24
98,363,358,358,358,"30,764","11,048,317.90",2024-12-23
99,364,349,351,351,"150,202","52,662,273",2024-12-20
100,362,355,357,355,"99,503","35,432,508.65",2024-12-19
101,360,352,352,357,"148,759","52,889,097.33",2024-12-18
102,356,352,355,353,"85,671","30,382,837.60",2024-12-17
103,355,346,347,353,"105,928","36,824,100.31",2024-12-16
104,350,348,349,348,"104,992","36,602,251.23",2024-12-13
105,350,348,349,349,"172,771","60,236,035.80",2024-12-12
106,350,349,350,349,"44,555","15,551,514.12",2024-12-11
107,353,350,350,350,"167,303","58,615,319.86",2024-12-10
