№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,"22,980","21,800","21,800","22,980",227,"4,998,560",2025-05-12
2,"21,880","21,800","21,880","21,860",19,"415,480.00",2025-05-09
3,"21,880","21,700","21,880","21,740",5,"108,680.00",2025-05-08
4,"21,900","21,880","21,900","21,880",116,"2,539,000.00",2025-05-07
5,"22,000","21,920","22,000","21,920",92,"2,017,360.00",2025-05-06
6,"22,000","21,440","21,780","22,000",81,"1,767,200.00",2025-05-05
7,"21,780","21,420","21,420","21,780",168,"3,635,120.00",2025-05-02
8,"21,800","21,320","21,800","21,780",91,"1,964,660.00",2025-05-01
9,"21,800","21,500","21,500","21,580",41,"884,500.00",2025-04-30
10,"21,980","21,400","21,980","21,800",374,"8,136,620.00",2025-04-29
11,"22,000","21,900","22,000","21,980",108,"2,373,280.00",2025-04-28
12,"22,000","21,980","22,000","21,980",16,"351,720",2025-04-25
13,"21,900","21,880","21,900","21,880",53,"1,160,580.00",2025-04-24
14,"21,980","21,960","21,960","21,980",23,"505,480.00",2025-04-23
15,"21,960","21,700","21,960","21,960",16,"349,420.00",2025-04-22
16,"22,000","21,680","21,700","21,840",509,"11,162,980.00",2025-04-21
17,"21,700","21,600","21,600","21,620",19,"410,800.00",2025-04-18
18,"21,600","21,500","21,580","21,540",16,"344,680.00",2025-04-17
19,"21,600","21,100","21,100","21,400",8,"171,240.00",2025-04-16
20,"21,780","21,100","21,100","21,180",166,"3,528,060.00",2025-04-15
21,"21,800","20,980","21,800","21,200",33,"699,340",2025-04-14
22,"21,840","21,760","21,800","21,820",43,"937,240.00",2025-04-11
23,"21,860","21,500","21,560","21,860",75,"1,632,180.00",2025-04-10
24,"21,340","20,800","21,340","20,860",26,"542,380.00",2025-04-09
25,"21,360","20,800","20,820","20,900",135,"2,828,380.00",2025-04-08
26,"21,300","20,800","21,300","20,860",9,"187,700.00",2025-04-07
27,"21,620","20,600","20,700","21,380",192,"3,971,300.00",2025-04-04
28,"21,680","20,700","21,680","20,840",87,"1,815,380.00",2025-04-03
29,"21,740","20,640","21,740","20,920",610,"12,862,040.00",2025-04-02
