№,Ханш Дээд,Ханш Доод,Ханш Нээлт,Ханш Хаалт,Арилжигдсан Ширхэг,Арилжигдсан Үнийн дүн,Арилжигдсан Огноо
1,860,850,851,850,"22,915","19,542,259",2025-05-13
2,852,850,852,851,"1,712","1,457,399.20",2025-05-12
3,853,850,852,850,"9,218","7,842,913.93",2025-05-09
4,852,850,850,852,"6,168","5,243,088.28",2025-05-08
5,852,850,850,850,"6,910","5,874,467.62",2025-05-07
6,852,851,851,852,"3,070","2,614,136.29",2025-05-06
7,851,851,851,851,"6,597","5,611,531.52",2025-05-05
8,851,850,851,850,"43,891","37,316,685.29",2025-05-02
9,851,850,851,851,"4,188","3,563,609.49",2025-05-01
10,851,850,850,851,"10,722","9,116,997.86",2025-04-30
11,851,850,850,850,"2,615","2,222,774.00",2025-04-29
12,851,850,850,850,"34,952","29,709,565",2025-04-28
13,851,850,851,851,474,"403,264.00",2025-04-25
14,851,850,850,850,"12,693","10,789,137.00",2025-04-24
15,851,850,850,851,"2,040","1,734,041.00",2025-04-23
16,851,850,850,851,"22,311","18,964,414.00",2025-04-22
17,852,850,850,850,"6,046","5,141,114.00",2025-04-21
18,852,850,852,852,"19,486","16,563,402.00",2025-04-18
19,852,850,850,852,"1,098","933,472.48",2025-04-17
20,852,850,850,850,"4,534","3,854,074.00",2025-04-16
21,852,850,850,852,"3,428","2,916,037",2025-04-15
22,852,850,852,850,"71,513","60,787,787.00",2025-04-14
23,852,848,848,850,"274,857","233,627,170.20",2025-04-11
24,852,771,835,842,"67,917","54,835,937.41",2025-04-10
25,855,801,842,844,"6,819","5,696,006.00",2025-04-09
26,853,840,851,852,"5,810","4,941,824.00",2025-04-08
27,853,840,840,851,"6,209","5,276,798.00",2025-04-07
28,852,830,830,851,"13,013","11,030,209.00",2025-04-04
29,852,830,830,840,"9,005","7,503,466.00",2025-04-03
30,853,830,830,838,"9,558","8,012,348.90",2025-04-02
31,853,830,830,830,"5,165","4,294,553.30",2025-04-01
32,855,830,845,854,"12,555","10,579,267.22",2025-03-31
33,855,830,830,855,"1,826","1,526,796.77",2025-03-28
34,853,830,831,852,"102,379","87,007,212.90",2025-03-27
35,853,828,828,852,"7,281","6,040,769.00",2025-03-26
36,853,828,850,853,"2,489","2,108,513.80",2025-03-25
37,855,829,849,844,"46,747","39,683,059.72",2025-03-24
38,855,828,828,854,"2,065","1,723,878.47",2025-03-21
39,855,827,842,855,"1,236","1,032,680.79",2025-03-20
40,855,840,840,855,"1,781,828","1,514,542,997.95",2025-03-19
41,853,826,853,850,"2,755","2,278,226.20",2025-03-18
42,836,826,826,827,"17,934","14,816,719.50",2025-03-17
43,854,826,854,829,"3,134","2,619,717.00",2025-03-14
44,855,830,830,854,707,"592,830.89",2025-03-13
45,830,826,826,830,"19,508","16,116,756.41",2025-03-12
46,855,830,830,850,"11,083","9,403,964.90",2025-03-11
47,855,850,850,850,"9,473","8,056,055.00",2025-03-10
48,860,835,835,858.17,"1,647","1,382,105.00",2025-03-07
49,865,830,830,865,644,"539,259.56",2025-03-06
50,870,838,838,866,"14,793","12,418,543.92",2025-02-28
51,840,826,826,839,"6,551","5,457,475.00",2025-02-27
52,830,826,826,830,"39,064","32,385,468.00",2025-02-26
53,827,826,826,827,"7,740","6,393,548.10",2025-02-25
54,827,826,826,827,"59,571","49,219,282.00",2025-02-24
55,830,827,827,828,"189,543","156,771,532.50",2025-02-21
56,827,826,827,827,"11,667","9,646,537.27",2025-02-20
57,827,826,827,826,"9,212","7,611,263.00",2025-02-19
58,830,828,828,829,919,"761,901.00",2025-02-18
59,830,820,829,821,"20,121","16,627,450",2025-02-17
60,829,820,829,829,"2,683","2,220,979.05",2025-02-14
61,829,825,829,825,"132,252","109,111,543.00",2025-02-13
62,830,829,829,830,"1,060","878,782.00",2025-02-12
63,830,828,830,829,"1,842","1,528,334.00",2025-02-11
64,830,820,820,830,"46,059","37,770,520.14",2025-02-10
65,840,820,840,831,"1,615","1,336,407.93",2025-02-07
66,830,820,822,822,"4,876","4,000,688.00",2025-02-06
67,822,820,820,822,"40,348","33,086,318.00",2025-02-05
68,824,820,824,820,"32,555","26,702,070.80",2025-02-04
69,828,822,828,825,"2,104","1,737,657.00",2025-02-03
